# Region Report
# Assembly name:  GRCz11
# Description:    Genome Reference Consortium Zebrafish Build 11
# Organism name:  Danio rerio (zebrafish)
# Infraspecific name:  strain=Tuebingen
# Taxid:          7955
# BioSample:      SAMN06930106
# BioProject:     PRJNA11776
# Submitter:      Genome Reference Consortium
# Date:           2017-05-09
# Synonyms:       danRer11	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000002035.4
# RefSeq assembly accession: GCF_000002035.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000175.4	GCF_000000175.5	Primary Assembly
## GCA_002119155.1	GCF_002119155.1	ALT_DRER_TU_1
## GCA_002119165.1	GCF_002119165.1	ALT_DRER_TU_2
## GCA_002119175.1	GCF_002119175.1	ALT_DRER_TU_3
## GCA_002119185.1	GCF_002119185.1	ALT_DRER_TU_4
## 	GCF_000002055.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region617	6	32870199	34790572	alt-scaffold	KZ115189.1	NW_018394652.1	ALT_DRER_TU_1
region617	6	32870199	34790572	alt-scaffold	KZ115190.1	NW_018394653.1	ALT_DRER_TU_1
region617	6	32870199	34790572	alt-scaffold	KZ115191.1	NW_018394654.1	ALT_DRER_TU_1
region617	6	32870199	34790572	alt-scaffold	KZ115192.1	NW_018394655.1	ALT_DRER_TU_1
region617	6	32870199	34790572	alt-scaffold	KZ114883.1	NW_018395258.1	ALT_DRER_TU_2
region617	6	32870199	34790572	alt-scaffold	KZ114884.1	NW_018395259.1	ALT_DRER_TU_2
region617	6	32870199	34790572	alt-scaffold	KZ114885.1	NW_018395260.1	ALT_DRER_TU_2
region617	6	32870199	34790572	alt-scaffold	KZ115754.1	NW_018395380.1	ALT_DRER_TU_3
region617	6	32870199	34790572	alt-scaffold	KZ115755.1	NW_018395381.1	ALT_DRER_TU_3
region618	6	35245880	35605394	alt-scaffold	KZ115193.1	NW_018394656.1	ALT_DRER_TU_1
region619	6	36353454	36718985	alt-scaffold	KZ115194.1	NW_018394657.1	ALT_DRER_TU_1
region620	6	37813705	38093027	alt-scaffold	KZ115195.1	NW_018394658.1	ALT_DRER_TU_1
region621	6	38303009	38772300	alt-scaffold	KZ115196.1	NW_018394659.1	ALT_DRER_TU_1
region624	6	38899429	39992702	alt-scaffold	KZ115197.1	NW_018394660.1	ALT_DRER_TU_1
region624	6	38899429	39992702	alt-scaffold	KZ115198.1	NW_018394661.1	ALT_DRER_TU_1
region624	6	38899429	39992702	alt-scaffold	KZ115199.1	NW_018394662.1	ALT_DRER_TU_1
region624	6	38899429	39992702	alt-scaffold	KZ114886.1	NW_018395261.1	ALT_DRER_TU_2
region624	6	38899429	39992702	alt-scaffold	KZ115756.1	NW_018395382.1	ALT_DRER_TU_3
region625	6	43051848	43322891	alt-scaffold	KZ115200.1	NW_018394663.1	ALT_DRER_TU_1
region626	6	44116774	44517863	alt-scaffold	KZ115201.1	NW_018394664.1	ALT_DRER_TU_1
region628	6	45660214	46626350	alt-scaffold	KZ115202.1	NW_018394665.1	ALT_DRER_TU_1
region628	6	45660214	46626350	alt-scaffold	KZ115203.1	NW_018394666.1	ALT_DRER_TU_1
region628	6	45660214	46626350	alt-scaffold	KZ114887.1	NW_018395262.1	ALT_DRER_TU_2
region629	6	47506812	47852039	alt-scaffold	KZ115204.1	NW_018394667.1	ALT_DRER_TU_1
region631	6	48897184	49467782	alt-scaffold	KZ115205.1	NW_018394668.1	ALT_DRER_TU_1
region631	6	48897184	49467782	alt-scaffold	KZ115206.1	NW_018394669.1	ALT_DRER_TU_1
region632	6	49541270	49751476	alt-scaffold	KZ115207.1	NW_018394670.1	ALT_DRER_TU_1
region633	7	1758405	1926430	alt-scaffold	KZ115208.1	NW_018394671.1	ALT_DRER_TU_1
region634	7	7449229	7675078	alt-scaffold	KZ115209.1	NW_018394672.1	ALT_DRER_TU_1
region635	7	10897941	11174509	alt-scaffold	KZ115210.1	NW_018394673.1	ALT_DRER_TU_1
region636	7	11666966	11880771	alt-scaffold	KZ115211.1	NW_018394674.1	ALT_DRER_TU_1
region637	7	13352808	13527994	alt-scaffold	KZ115212.1	NW_018394675.1	ALT_DRER_TU_1
region638	7	13876413	14190828	alt-scaffold	KZ115213.1	NW_018394676.1	ALT_DRER_TU_1
region641	7	14955410	15714025	alt-scaffold	KZ115214.1	NW_018394677.1	ALT_DRER_TU_1
region641	7	14955410	15714025	alt-scaffold	KZ115215.1	NW_018394678.1	ALT_DRER_TU_1
region641	7	14955410	15714025	alt-scaffold	KZ115216.1	NW_018394679.1	ALT_DRER_TU_1
region641	7	14955410	15714025	alt-scaffold	KZ114888.1	NW_018395263.1	ALT_DRER_TU_2
region642	7	16585782	17006678	alt-scaffold	KZ115217.1	NW_018394680.1	ALT_DRER_TU_1
region643	7	17225095	17492878	alt-scaffold	KZ115218.1	NW_018394681.1	ALT_DRER_TU_1
region644	7	18121708	18384845	alt-scaffold	KZ115219.1	NW_018394682.1	ALT_DRER_TU_1
region645	7	19261774	19650277	alt-scaffold	KZ115220.1	NW_018394683.1	ALT_DRER_TU_1
region646	7	19849724	20165117	alt-scaffold	KZ115221.1	NW_018394684.1	ALT_DRER_TU_1
region647	7	20392055	20735806	alt-scaffold	KZ115222.1	NW_018394685.1	ALT_DRER_TU_1
region648	7	21449470	21688273	alt-scaffold	KZ115223.1	NW_018394686.1	ALT_DRER_TU_1
region649	7	22325273	22785861	alt-scaffold	KZ115224.1	NW_018394687.1	ALT_DRER_TU_1
region649	7	22325273	22785861	alt-scaffold	KZ114889.1	NW_018395264.1	ALT_DRER_TU_2
region650	7	22873855	23602636	alt-scaffold	KZ115225.1	NW_018394688.1	ALT_DRER_TU_1
region650	7	22873855	23602636	alt-scaffold	KZ114890.1	NW_018395265.1	ALT_DRER_TU_2
region651	7	24351534	24592745	alt-scaffold	KZ115226.1	NW_018394689.1	ALT_DRER_TU_1
region652	7	25026261	25324215	alt-scaffold	KZ115227.1	NW_018394690.1	ALT_DRER_TU_1
region653	7	26968696	27321892	alt-scaffold	KZ115228.1	NW_018394691.1	ALT_DRER_TU_1
region654	7	27780634	28061674	alt-scaffold	KZ115229.1	NW_018394692.1	ALT_DRER_TU_1
region655	7	28307096	28538035	alt-scaffold	KZ115230.1	NW_018394693.1	ALT_DRER_TU_1
region657	7	29115424	29937829	alt-scaffold	KZ115231.1	NW_018394694.1	ALT_DRER_TU_1
region657	7	29115424	29937829	alt-scaffold	KZ115232.1	NW_018394695.1	ALT_DRER_TU_1
region657	7	29115424	29937829	alt-scaffold	KZ114891.1	NW_018395266.1	ALT_DRER_TU_2
region658	7	30032032	30387427	alt-scaffold	KZ115233.1	NW_018394696.1	ALT_DRER_TU_1
region659	7	33038963	33344806	alt-scaffold	KZ115234.1	NW_018394697.1	ALT_DRER_TU_1
region660	7	34041725	34411808	alt-scaffold	KZ115235.1	NW_018394698.1	ALT_DRER_TU_1
region661	7	34736192	35095775	alt-scaffold	KZ115236.1	NW_018394699.1	ALT_DRER_TU_1
region662	7	36073514	36683601	alt-scaffold	KZ115237.1	NW_018394700.1	ALT_DRER_TU_1
region663	7	36762674	36957299	alt-scaffold	KZ115238.1	NW_018394701.1	ALT_DRER_TU_1
region664	7	37161547	37398718	alt-scaffold	KZ115239.1	NW_018394702.1	ALT_DRER_TU_1
region666	7	40214536	41073632	alt-scaffold	KZ115240.1	NW_018394703.1	ALT_DRER_TU_1
region666	7	40214536	41073632	alt-scaffold	KZ115241.1	NW_018394704.1	ALT_DRER_TU_1
region666	7	40214536	41073632	alt-scaffold	KZ115252.1	NW_018394715.1	ALT_DRER_TU_1
region667	7	41999333	42303994	alt-scaffold	KZ115242.1	NW_018394705.1	ALT_DRER_TU_1
region669	7	44500193	45006605	alt-scaffold	KZ115243.1	NW_018394706.1	ALT_DRER_TU_1
region669	7	44500193	45006605	alt-scaffold	KZ115244.1	NW_018394707.1	ALT_DRER_TU_1
region670	7	45565382	45863826	alt-scaffold	KZ115245.1	NW_018394708.1	ALT_DRER_TU_1
region671	7	45919873	46226970	alt-scaffold	KZ115246.1	NW_018394709.1	ALT_DRER_TU_1
region672	7	46427401	46818584	alt-scaffold	KZ115247.1	NW_018394710.1	ALT_DRER_TU_1
region672	7	46427401	46818584	alt-scaffold	KZ114892.1	NW_018395267.1	ALT_DRER_TU_2
region673	7	51964809	52442683	alt-scaffold	KZ115248.1	NW_018394711.1	ALT_DRER_TU_1
region673	7	51964809	52442683	alt-scaffold	KZ114893.1	NW_018395268.1	ALT_DRER_TU_2
region674	7	55559420	56176546	alt-scaffold	KZ115249.1	NW_018394712.1	ALT_DRER_TU_1
region674	7	55559420	56176546	alt-scaffold	KZ114894.1	NW_018395269.1	ALT_DRER_TU_2
region675	7	65868831	66171599	alt-scaffold	KZ115250.1	NW_018394713.1	ALT_DRER_TU_1
region676	7	70888973	71193853	alt-scaffold	KZ115251.1	NW_018394714.1	ALT_DRER_TU_1
region677	8	16647185	17170592	alt-scaffold	KZ115253.1	NW_018394716.1	ALT_DRER_TU_1
region677	8	16647185	17170592	alt-scaffold	KZ114895.1	NW_018395270.1	ALT_DRER_TU_2
region678	8	17465028	17885199	alt-scaffold	KZ115254.1	NW_018394717.1	ALT_DRER_TU_1
region679	8	18842082	19309090	alt-scaffold	KZ115255.1	NW_018394718.1	ALT_DRER_TU_1
region680	8	20489260	20866168	alt-scaffold	KZ115256.1	NW_018394719.1	ALT_DRER_TU_1
region682	8	20947720	21690823	alt-scaffold	KZ115257.1	NW_018394720.1	ALT_DRER_TU_1
region682	8	20947720	21690823	alt-scaffold	KZ115258.1	NW_018394721.1	ALT_DRER_TU_1
region682	8	20947720	21690823	alt-scaffold	KZ114896.1	NW_018395271.1	ALT_DRER_TU_2
region683	8	21861321	22143339	alt-scaffold	KZ115259.1	NW_018394722.1	ALT_DRER_TU_1
region684	8	22600671	23106522	alt-scaffold	KZ115260.1	NW_018394723.1	ALT_DRER_TU_1
region684	8	22600671	23106522	alt-scaffold	KZ114897.1	NW_018395272.1	ALT_DRER_TU_2
region685	8	23740273	24101280	alt-scaffold	KZ115261.1	NW_018394724.1	ALT_DRER_TU_1
region686	8	24331477	24967621	alt-scaffold	KZ115262.1	NW_018394725.1	ALT_DRER_TU_1
region688	8	26400456	28127183	alt-scaffold	KZ115263.1	NW_018394726.1	ALT_DRER_TU_1
region688	8	26400456	28127183	alt-scaffold	KZ115264.1	NW_018394727.1	ALT_DRER_TU_1
region688	8	26400456	28127183	alt-scaffold	KZ114898.1	NW_018395273.1	ALT_DRER_TU_2
region689	8	28624880	28908444	alt-scaffold	KZ115265.1	NW_018394728.1	ALT_DRER_TU_1
region691	8	29256874	30304143	alt-scaffold	KZ115266.1	NW_018394729.1	ALT_DRER_TU_1
region691	8	29256874	30304143	alt-scaffold	KZ115267.1	NW_018394730.1	ALT_DRER_TU_1
region691	8	29256874	30304143	alt-scaffold	KZ114899.1	NW_018395274.1	ALT_DRER_TU_2
region691	8	29256874	30304143	alt-scaffold	KZ114900.1	NW_018395275.1	ALT_DRER_TU_2
region694	8	30396351	31724046	alt-scaffold	KZ115268.1	NW_018394731.1	ALT_DRER_TU_1
region694	8	30396351	31724046	alt-scaffold	KZ115269.1	NW_018394732.1	ALT_DRER_TU_1
region694	8	30396351	31724046	alt-scaffold	KZ115270.1	NW_018394733.1	ALT_DRER_TU_1
region695	8	33827653	34115277	alt-scaffold	KZ115271.1	NW_018394734.1	ALT_DRER_TU_1
region696	8	34162919	34408677	alt-scaffold	KZ115272.1	NW_018394735.1	ALT_DRER_TU_1
region697	8	34600604	34768336	alt-scaffold	KZ115273.1	NW_018394736.1	ALT_DRER_TU_1
region698	8	35127045	35529317	alt-scaffold	KZ115274.1	NW_018394737.1	ALT_DRER_TU_1
region699	8	35544309	35783237	alt-scaffold	KZ115275.1	NW_018394738.1	ALT_DRER_TU_1
region700	8	42240917	42565149	alt-scaffold	KZ115276.1	NW_018394739.1	ALT_DRER_TU_1
region701	8	42909084	43160623	alt-scaffold	KZ115277.1	NW_018394740.1	ALT_DRER_TU_1
region702	8	45102989	45350953	alt-scaffold	KZ115278.1	NW_018394741.1	ALT_DRER_TU_1
region703	8	45954253	46243331	alt-scaffold	KZ115279.1	NW_018394742.1	ALT_DRER_TU_1
region704	9	13249989	13788557	alt-scaffold	KZ115280.1	NW_018394743.1	ALT_DRER_TU_1
region705	9	15221530	15539086	alt-scaffold	KZ115281.1	NW_018394744.1	ALT_DRER_TU_1
region706	9	16823322	17847879	alt-scaffold	KZ115282.1	NW_018394745.1	ALT_DRER_TU_1
region706	9	16823322	17847879	alt-scaffold	KZ115283.1	NW_018394746.1	ALT_DRER_TU_1
region706	9	16823322	17847879	alt-scaffold	KZ114901.1	NW_018395276.1	ALT_DRER_TU_2
region706	9	16823322	17847879	alt-scaffold	KZ115757.1	NW_018395383.1	ALT_DRER_TU_3
region707	9	18836034	19372136	alt-scaffold	KZ115284.1	NW_018394747.1	ALT_DRER_TU_1
region707	9	18836034	19372136	alt-scaffold	KZ114902.1	NW_018395277.1	ALT_DRER_TU_2
region708	9	20064412	20492195	alt-scaffold	KZ115285.1	NW_018394748.1	ALT_DRER_TU_1
region710	9	21128620	22012003	alt-scaffold	KZ115286.1	NW_018394749.1	ALT_DRER_TU_1
region710	9	21128620	22012003	alt-scaffold	KZ115287.1	NW_018394750.1	ALT_DRER_TU_1
region710	9	21128620	22012003	alt-scaffold	KZ114903.1	NW_018395278.1	ALT_DRER_TU_2
region711	9	22181877	22944476	alt-scaffold	KZ115288.1	NW_018394751.1	ALT_DRER_TU_1
region711	9	22181877	22944476	alt-scaffold	KZ114904.1	NW_018395279.1	ALT_DRER_TU_2
region712	9	23256905	23706209	alt-scaffold	KZ115289.1	NW_018394752.1	ALT_DRER_TU_1
region713	9	23880841	24383928	alt-scaffold	KZ115290.1	NW_018394753.1	ALT_DRER_TU_1
region713	9	23880841	24383928	alt-scaffold	KZ114905.1	NW_018395280.1	ALT_DRER_TU_2
region714	9	25541948	25843920	alt-scaffold	KZ115291.1	NW_018394754.1	ALT_DRER_TU_1
region714	9	25541948	25843920	alt-scaffold	KZ114906.1	NW_018395281.1	ALT_DRER_TU_2
region716	9	27048511	28231944	alt-scaffold	KZ115292.1	NW_018394755.1	ALT_DRER_TU_1
region716	9	27048511	28231944	alt-scaffold	KZ115293.1	NW_018394756.1	ALT_DRER_TU_1
region716	9	27048511	28231944	alt-scaffold	KZ114907.1	NW_018395282.1	ALT_DRER_TU_2
region716	9	27048511	28231944	alt-scaffold	KZ114908.1	NW_018395283.1	ALT_DRER_TU_2
region717	9	28494570	29083874	alt-scaffold	KZ115294.1	NW_018394757.1	ALT_DRER_TU_1
region717	9	28494570	29083874	alt-scaffold	KZ114909.1	NW_018395284.1	ALT_DRER_TU_2
region719	9	29157561	30134359	alt-scaffold	KZ115295.1	NW_018394758.1	ALT_DRER_TU_1
region719	9	29157561	30134359	alt-scaffold	KZ115296.1	NW_018394759.1	ALT_DRER_TU_1
region719	9	29157561	30134359	alt-scaffold	KZ114910.1	NW_018395285.1	ALT_DRER_TU_2
region720	9	34708103	35300645	alt-scaffold	KZ115297.1	NW_018394760.1	ALT_DRER_TU_1
region721	9	35611199	36012148	alt-scaffold	KZ115298.1	NW_018394761.1	ALT_DRER_TU_1
region722	9	52691742	52847970	alt-scaffold	KZ115299.1	NW_018394762.1	ALT_DRER_TU_1
region42	10	3100224	3346957	alt-scaffold	KZ115336.1	NW_018394799.1	ALT_DRER_TU_1
region44	10	4951398	5422274	alt-scaffold	KZ115300.1	NW_018394763.1	ALT_DRER_TU_1
region44	10	4951398	5422274	alt-scaffold	KZ115301.1	NW_018394764.1	ALT_DRER_TU_1
region44	10	4951398	5422274	alt-scaffold	KZ114911.1	NW_018395286.1	ALT_DRER_TU_2
region45	10	7362427	7642770	alt-scaffold	KZ115302.1	NW_018394765.1	ALT_DRER_TU_1
region46	10	7834188	8029424	alt-scaffold	KZ115303.1	NW_018394766.1	ALT_DRER_TU_1
region49	10	8660650	9474749	alt-scaffold	KZ115305.1	NW_018394768.1	ALT_DRER_TU_1
region49	10	8660650	9474749	alt-scaffold	KZ115306.1	NW_018394769.1	ALT_DRER_TU_1
region49	10	8660650	9474749	alt-scaffold	KZ115307.1	NW_018394770.1	ALT_DRER_TU_1
region50	10	9768555	9811541	alt-scaffold	KZ115304.1	NW_018394767.1	ALT_DRER_TU_1
region51	10	9818345	10096012	alt-scaffold	KZ115308.1	NW_018394771.1	ALT_DRER_TU_1
region52	10	10271671	10626074	alt-scaffold	KZ115309.1	NW_018394772.1	ALT_DRER_TU_1
region53	10	10705082	10970788	alt-scaffold	KZ115310.1	NW_018394773.1	ALT_DRER_TU_1
region54	10	13378646	13576360	alt-scaffold	KZ115311.1	NW_018394774.1	ALT_DRER_TU_1
region55	10	18572724	18896393	alt-scaffold	KZ115312.1	NW_018394775.1	ALT_DRER_TU_1
region56	10	18955803	19277504	alt-scaffold	KZ115313.1	NW_018394776.1	ALT_DRER_TU_1
region57	10	19372129	19591889	alt-scaffold	KZ115314.1	NW_018394777.1	ALT_DRER_TU_1
region59	10	19775250	20360583	alt-scaffold	KZ115315.1	NW_018394778.1	ALT_DRER_TU_1
region59	10	19775250	20360583	alt-scaffold	KZ115316.1	NW_018394779.1	ALT_DRER_TU_1
region59	10	19775250	20360583	alt-scaffold	KZ114912.1	NW_018395287.1	ALT_DRER_TU_2
region61	10	20601005	21482277	alt-scaffold	KZ115317.1	NW_018394780.1	ALT_DRER_TU_1
region61	10	20601005	21482277	alt-scaffold	KZ115318.1	NW_018394781.1	ALT_DRER_TU_1
region62	10	21732457	22202047	alt-scaffold	KZ115319.1	NW_018394782.1	ALT_DRER_TU_1
region63	10	22217462	22528047	alt-scaffold	KZ115320.1	NW_018394783.1	ALT_DRER_TU_1
region64	10	23219600	23775594	alt-scaffold	KZ115321.1	NW_018394784.1	ALT_DRER_TU_1
region65	10	23980006	24579392	alt-scaffold	KZ115322.1	NW_018394785.1	ALT_DRER_TU_1
region66	10	26154811	26591094	alt-scaffold	KZ115323.1	NW_018394786.1	ALT_DRER_TU_1
region66	10	26154811	26591094	alt-scaffold	KZ114913.1	NW_018395288.1	ALT_DRER_TU_2
region67	10	26745596	27546313	alt-scaffold	KZ115324.1	NW_018394787.1	ALT_DRER_TU_1
region67	10	26745596	27546313	alt-scaffold	KZ114914.1	NW_018395289.1	ALT_DRER_TU_2
region68	10	27877335	28251777	alt-scaffold	KZ115325.1	NW_018394788.1	ALT_DRER_TU_1
region69	10	28260614	28782560	alt-scaffold	KZ115326.1	NW_018394789.1	ALT_DRER_TU_1
region69	10	28260614	28782560	alt-scaffold	KZ114915.1	NW_018395290.1	ALT_DRER_TU_2
region70	10	28998152	29228338	alt-scaffold	KZ115327.1	NW_018394790.1	ALT_DRER_TU_1
region71	10	29795555	30026764	alt-scaffold	KZ115328.1	NW_018394791.1	ALT_DRER_TU_1
region73	10	33455131	34349290	alt-scaffold	KZ115329.1	NW_018394792.1	ALT_DRER_TU_1
region73	10	33455131	34349290	alt-scaffold	KZ115330.1	NW_018394793.1	ALT_DRER_TU_1
region73	10	33455131	34349290	alt-scaffold	KZ114916.1	NW_018395291.1	ALT_DRER_TU_2
region74	10	35804466	36003128	alt-scaffold	KZ115331.1	NW_018394794.1	ALT_DRER_TU_1
region75	10	36138604	36509199	alt-scaffold	KZ115332.1	NW_018394795.1	ALT_DRER_TU_1
region75	10	36138604	36509199	alt-scaffold	KZ114917.1	NW_018395292.1	ALT_DRER_TU_2
region76	10	37405045	38023269	alt-scaffold	KZ115333.1	NW_018394796.1	ALT_DRER_TU_1
region76	10	37405045	38023269	alt-scaffold	KZ114918.1	NW_018395293.1	ALT_DRER_TU_2
region77	10	40233906	40517536	alt-scaffold	KZ115334.1	NW_018394797.1	ALT_DRER_TU_1
region78	10	41861406	42123752	alt-scaffold	KZ115335.1	NW_018394798.1	ALT_DRER_TU_1
region79	11	4123740	4604466	alt-scaffold	KZ115337.1	NW_018394800.1	ALT_DRER_TU_1
region79	11	4123740	4604466	alt-scaffold	KZ114919.1	NW_018395294.1	ALT_DRER_TU_2
region80	11	5793982	6052253	alt-scaffold	KZ115338.1	NW_018394801.1	ALT_DRER_TU_1
region81	11	11500380	11857519	alt-scaffold	KZ115339.1	NW_018394802.1	ALT_DRER_TU_1
region82	11	11891378	12759496	alt-scaffold	KZ115341.1	NW_018394804.1	ALT_DRER_TU_1
region82	11	11891378	12759496	alt-scaffold	KZ115340.1	NW_018394803.1	ALT_DRER_TU_1
region82	11	11891378	12759496	alt-scaffold	KZ115342.1	NW_018394805.1	ALT_DRER_TU_1
region82	11	11891378	12759496	alt-scaffold	KZ114920.1	NW_018395295.1	ALT_DRER_TU_2
region82	11	11891378	12759496	alt-scaffold	KZ115758.1	NW_018395384.1	ALT_DRER_TU_3
region82	11	11891378	12759496	alt-scaffold	KZ115762.1	NW_018395388.1	ALT_DRER_TU_4
region83	11	13852877	14059005	alt-scaffold	KZ115365.1	NW_018394828.1	ALT_DRER_TU_1
region84	11	14090764	14419934	alt-scaffold	KZ115343.1	NW_018394806.1	ALT_DRER_TU_1
region85	11	14514842	14785445	alt-scaffold	KZ115344.1	NW_018394807.1	ALT_DRER_TU_1
region86	11	15274198	15765526	alt-scaffold	KZ115345.1	NW_018394808.1	ALT_DRER_TU_1
region86	11	15274198	15765526	alt-scaffold	KZ114921.1	NW_018395296.1	ALT_DRER_TU_2
region87	11	15827284	16345838	alt-scaffold	KZ115346.1	NW_018394809.1	ALT_DRER_TU_1
region87	11	15827284	16345838	alt-scaffold	KZ114922.1	NW_018395297.1	ALT_DRER_TU_2
region90	11	16481242	18033642	alt-scaffold	KZ115347.1	NW_018394810.1	ALT_DRER_TU_1
region90	11	16481242	18033642	alt-scaffold	KZ115348.1	NW_018394811.1	ALT_DRER_TU_1
region90	11	16481242	18033642	alt-scaffold	KZ115349.1	NW_018394812.1	ALT_DRER_TU_1
region90	11	16481242	18033642	alt-scaffold	KZ115350.1	NW_018394813.1	ALT_DRER_TU_1
region90	11	16481242	18033642	alt-scaffold	KZ114923.1	NW_018395298.1	ALT_DRER_TU_2
region91	11	18076653	18538525	alt-scaffold	KZ115351.1	NW_018394814.1	ALT_DRER_TU_1
region92	11	20073195	20603673	alt-scaffold	KZ115352.1	NW_018394815.1	ALT_DRER_TU_1
region92	11	20073195	20603673	alt-scaffold	KZ115353.1	NW_018394816.1	ALT_DRER_TU_1
region92	11	20073195	20603673	alt-scaffold	KZ114924.1	NW_018395299.1	ALT_DRER_TU_2
region92	11	20073195	20603673	alt-scaffold	KZ115759.1	NW_018395385.1	ALT_DRER_TU_3
region93	11	21154798	21966127	alt-scaffold	KZ115354.1	NW_018394817.1	ALT_DRER_TU_1
region93	11	21154798	21966127	alt-scaffold	KZ115355.1	NW_018394818.1	ALT_DRER_TU_1
region93	11	21154798	21966127	alt-scaffold	KZ114925.1	NW_018395300.1	ALT_DRER_TU_2
region94	11	23695602	23981030	alt-scaffold	KZ115356.1	NW_018394819.1	ALT_DRER_TU_1
region96	11	24485669	25077515	alt-scaffold	KZ115357.1	NW_018394820.1	ALT_DRER_TU_1
region96	11	24485669	25077515	alt-scaffold	KZ115358.1	NW_018394821.1	ALT_DRER_TU_1
region97	11	25374059	25797489	alt-scaffold	KZ115359.1	NW_018394822.1	ALT_DRER_TU_1
region98	11	34759274	35008029	alt-scaffold	KZ115360.1	NW_018394823.1	ALT_DRER_TU_1
region99	11	35175579	35636996	alt-scaffold	KZ115361.1	NW_018394824.1	ALT_DRER_TU_1
region100	11	36047900	36428079	alt-scaffold	KZ115362.1	NW_018394825.1	ALT_DRER_TU_1
region101	11	37785469	38184991	alt-scaffold	KZ115363.1	NW_018394826.1	ALT_DRER_TU_1
region102	11	41192329	41445678	alt-scaffold	KZ115364.1	NW_018394827.1	ALT_DRER_TU_1
region103	12	4817962	4983019	alt-scaffold	KZ115366.1	NW_018394829.1	ALT_DRER_TU_1
region104	12	6378689	6686519	alt-scaffold	KZ115367.1	NW_018394830.1	ALT_DRER_TU_1
region105	12	9276350	9682127	alt-scaffold	KZ115368.1	NW_018394831.1	ALT_DRER_TU_1
region106	12	9776765	10083124	alt-scaffold	KZ115369.1	NW_018394832.1	ALT_DRER_TU_1
region107	12	11498615	11823931	alt-scaffold	KZ115370.1	NW_018394833.1	ALT_DRER_TU_1
region108	12	17551675	17715080	alt-scaffold	KZ115371.1	NW_018394834.1	ALT_DRER_TU_1
region110	12	18033416	19931771	alt-scaffold	KZ115372.1	NW_018394835.1	ALT_DRER_TU_1
region110	12	18033416	19931771	alt-scaffold	KZ115373.1	NW_018394836.1	ALT_DRER_TU_1
region110	12	18033416	19931771	alt-scaffold	KZ114926.1	NW_018395301.1	ALT_DRER_TU_2
region111	12	20186290	20487607	alt-scaffold	KZ115374.1	NW_018394837.1	ALT_DRER_TU_1
region112	12	21125970	21324081	alt-scaffold	KZ115375.1	NW_018394838.1	ALT_DRER_TU_1
region113	12	22049494	22534091	alt-scaffold	KZ115376.1	NW_018394839.1	ALT_DRER_TU_1
region115	12	22594344	23183728	alt-scaffold	KZ115377.1	NW_018394840.1	ALT_DRER_TU_1
region115	12	22594344	23183728	alt-scaffold	KZ115378.1	NW_018394841.1	ALT_DRER_TU_1
region116	12	23632620	24018762	alt-scaffold	KZ115379.1	NW_018394842.1	ALT_DRER_TU_1
region116	12	23632620	24018762	alt-scaffold	KZ114927.1	NW_018395302.1	ALT_DRER_TU_2
region117	12	24214213	24631102	alt-scaffold	KZ115380.1	NW_018394843.1	ALT_DRER_TU_1
region118	12	24655036	24953111	alt-scaffold	KZ115381.1	NW_018394844.1	ALT_DRER_TU_1
region119	12	25127443	25586289	alt-scaffold	KZ115382.1	NW_018394845.1	ALT_DRER_TU_1
region120	12	26552977	26800802	alt-scaffold	KZ115383.1	NW_018394846.1	ALT_DRER_TU_1
region121	12	27095885	27656388	alt-scaffold	KZ115384.1	NW_018394847.1	ALT_DRER_TU_1
region122	12	28554605	28873774	alt-scaffold	KZ115385.1	NW_018394848.1	ALT_DRER_TU_1
region123	12	28915008	29308469	alt-scaffold	KZ115386.1	NW_018394849.1	ALT_DRER_TU_1
region124	12	29578491	29777804	alt-scaffold	KZ115387.1	NW_018394850.1	ALT_DRER_TU_1
region125	12	30148924	30504048	alt-scaffold	KZ115388.1	NW_018394851.1	ALT_DRER_TU_1
region126	12	31027899	31288707	alt-scaffold	KZ115389.1	NW_018394852.1	ALT_DRER_TU_1
region127	12	31734479	32116118	alt-scaffold	KZ115390.1	NW_018394853.1	ALT_DRER_TU_1
region128	12	32196360	32543870	alt-scaffold	KZ115391.1	NW_018394854.1	ALT_DRER_TU_1
region128	12	32196360	32543870	alt-scaffold	KZ114928.1	NW_018395303.1	ALT_DRER_TU_2
region129	12	33437697	33752195	alt-scaffold	KZ115392.1	NW_018394855.1	ALT_DRER_TU_1
region130	12	33866625	34167747	alt-scaffold	KZ115393.1	NW_018394856.1	ALT_DRER_TU_1
region131	12	35618688	35941723	alt-scaffold	KZ115395.1	NW_018394858.1	ALT_DRER_TU_1
region131	12	35618688	35941723	alt-scaffold	KZ114929.1	NW_018395304.1	ALT_DRER_TU_2
region132	12	36246220	36439816	alt-scaffold	KZ115394.1	NW_018394857.1	ALT_DRER_TU_1
region133	12	36714008	37028343	alt-scaffold	KZ115396.1	NW_018394859.1	ALT_DRER_TU_1
