,species,mirid,mirfam,chrom,start,end,strand
1132,Homo_sapiens,Hsa-Mir-362-P2-v1,Mir-362,X,50008442,50008502,+
1133,Homo_sapiens,Hsa-Mir-5579,Mir-5579,11,79422169,79422226,-
1134,Homo_sapiens,Hsa-Mir-221-P2,Mir-221,X,45747033,45747096,-
1135,Homo_sapiens,Hsa-Mir-3924,Mir-3924,10,57304489,57304547,-
1136,Homo_sapiens,Hsa-Mir-3611,Mir-3611,10,35079608,35079668,-
1137,Homo_sapiens,Hsa-Mir-550-P3,Mir-550,7,29680747,29680808,-
1138,Homo_sapiens,Hsa-Mir-3622,Mir-3622,8,27701689,27701746,+
1139,Homo_sapiens,Hsa-Mir-203-v1,Mir-203,14,104117430,104117488,+
1140,Homo_sapiens,Hsa-Mir-430-P45,Mir-430,19,53706265,53706322,+
1141,Homo_sapiens,Hsa-Mir-505-v2,Mir-505,X,139924159,139924217,-
1142,Homo_sapiens,Hsa-Mir-577,Mir-577,4,114656772,114656829,+
1143,Homo_sapiens,Hsa-Mir-144,Mir-144,17,28861548,28861604,-
1144,Homo_sapiens,Hsa-Mir-430-P30,Mir-430,19,53679952,53680009,+
1145,Homo_sapiens,Hsa-Mir-202,Mir-202,10,133247536,133247593,-
1146,Homo_sapiens,Hsa-Mir-154-P3b,Mir-154,14,101056232,101056287,+
1147,Homo_sapiens,Hsa-Mir-1-P3,Mir-1,6,52144362,52144420,+
1148,Homo_sapiens,Hsa-Mir-430-P15c,Mir-430,19,53741331,53741388,+
1149,Homo_sapiens,Hsa-Mir-337-v1,Mir-337,14,100874514,100874572,+
1150,Homo_sapiens,Hsa-Mir-192-P2,Mir-192,1,220117877,220117936,-
1151,Homo_sapiens,Hsa-Mir-137-P1-v2,Mir-137,1,98046090,98046149,-
1152,Homo_sapiens,Hsa-Mir-325,Mir-325,X,77005427,77005486,-
1153,Homo_sapiens,Hsa-Mir-29-P1b,Mir-29,1,207801865,207801922,-
1154,Homo_sapiens,Hsa-Mir-139,Mir-139,11,72615066,72615124,-
1155,Homo_sapiens,Hsa-Mir-425,Mir-425,3,49020159,49020221,-
1156,Homo_sapiens,Hsa-Mir-430-P15a,Mir-430,19,53712281,53712340,+
1157,Homo_sapiens,Hsa-Mir-138-P2,Mir-138,16,56858526,56858593,+
1158,Homo_sapiens,Hsa-Mir-506-P2,Mir-506,X,147231002,147231059,-
1159,Homo_sapiens,Hsa-Mir-10-P2b,Mir-10,19,51692617,51692675,+
1160,Homo_sapiens,Hsa-Mir-153-P1,Mir-153,2,219294126,219294185,-
1161,Homo_sapiens,Hsa-Mir-430-P48,Mir-430,19,53754030,53754087,+
1162,Homo_sapiens,Hsa-Mir-4662,Mir-4662,8,124821989,124822046,+
1163,Homo_sapiens,Hsa-Mir-4637,Mir-4637,5,14825932,14826007,-
1164,Homo_sapiens,Hsa-Mir-770,Mir-770,14,100852408,100852468,+
1165,Homo_sapiens,Hsa-Mir-629,Mir-629,15,70079387,70079447,-
1166,Homo_sapiens,Hsa-Mir-1301,Mir-1301,2,25328651,25328710,-
1167,Homo_sapiens,Hsa-Mir-1286,Mir-1286,22,20249145,20249200,-
1168,Homo_sapiens,Hsa-Mir-511,Mir-511,10,17845120,17845179,+
1169,Homo_sapiens,Hsa-Mir-430-P2,Mir-430,4,112648489,112648547,-
1170,Homo_sapiens,Hsa-Mir-430-P29,Mir-430,19,53713360,53713420,+
1171,Homo_sapiens,Hsa-Mir-96-P1,Mir-96,7,129774698,129774761,-
1172,Homo_sapiens,Hsa-Mir-7-P2,Mir-7,15,88611855,88611915,+
1173,Homo_sapiens,Hsa-Mir-130-P2a,Mir-130,17,59151149,59151208,-
1174,Homo_sapiens,Hsa-Mir-143,Mir-143,5,149428943,149428996,+
1175,Homo_sapiens,Hsa-Mir-430-P44,Mir-430,19,53697546,53697603,+
1176,Homo_sapiens,Hsa-Mir-154-P16,Mir-154,14,101052457,101052513,+
1177,Homo_sapiens,Hsa-Mir-504-v1,Mir-504,X,138667723,138667781,-
1178,Homo_sapiens,Hsa-Mir-455,Mir-455,9,114209448,114209504,+
1179,Homo_sapiens,Hsa-Let-7-P2a3,Let-7,X,53557197,53557267,-
1180,Homo_sapiens,Hsa-Mir-95-P2,Mir-95,X,74218393,74218448,-
1181,Homo_sapiens,Hsa-Mir-24-P2,Mir-24,9,95086025,95086083,+
1182,Homo_sapiens,Hsa-Mir-154-P14,Mir-154,14,101065464,101065517,+
1183,Homo_sapiens,Hsa-Mir-330-v1,Mir-330,19,45639007,45639070,-
1184,Homo_sapiens,Hsa-Mir-362-P4,Mir-362,X,50014611,50014669,+
1185,Homo_sapiens,Hsa-Mir-181-P1b,Mir-181,9,124692479,124692537,+
1186,Homo_sapiens,Hsa-Mir-15-P2d,Mir-15,X,134546331,134546393,-
1187,Homo_sapiens,Hsa-Mir-10-P1b-v1,Mir-10,2,176150328,176150388,+
1188,Homo_sapiens,Hsa-Mir-224,Mir-224,X,151958583,151958651,-
1189,Homo_sapiens,Hsa-Mir-135-P3,Mir-135,1,205448323,205448383,-
1190,Homo_sapiens,Hsa-Mir-324,Mir-324,17,7223308,7223364,-
1191,Homo_sapiens,Hsa-Mir-218-P2,Mir-218,5,168768168,168768231,-
1192,Homo_sapiens,Hsa-Mir-430-P7,Mir-430,19,53788709,53788768,+
1193,Homo_sapiens,Hsa-Mir-29-P1a,Mir-29,7,130876748,130876807,-
1194,Homo_sapiens,Hsa-Mir-652,Mir-652,X,110055347,110055407,+
1195,Homo_sapiens,Hsa-Mir-430-P41,Mir-430,19,53751225,53751283,+
1196,Homo_sapiens,Hsa-Mir-561,Mir-561,2,188297516,188297571,+
1197,Homo_sapiens,Hsa-Mir-1298,Mir-1298,X,114715249,114715323,+
1198,Homo_sapiens,Hsa-Mir-383-v1,Mir-383,8,14853443,14853504,-
1199,Homo_sapiens,Hsa-Mir-184,Mir-184,15,79209799,79209859,+
1200,Homo_sapiens,Hsa-Mir-370,Mir-370,14,100911150,100911205,+
1201,Homo_sapiens,Hsa-Mir-1266,Mir-1266,15,52277131,52277188,-
1202,Homo_sapiens,Hsa-Mir-181-P2b,Mir-181,9,124693724,124693782,+
1203,Homo_sapiens,Hsa-Mir-34-P3a,Mir-34,5,55170546,55170607,-
1204,Homo_sapiens,Hsa-Mir-430-P36,Mir-430,19,53682172,53682231,+
1205,Homo_sapiens,Hsa-Mir-498,Mir-498,19,53674229,53674287,+
1206,Homo_sapiens,Hsa-Mir-506-P9,Mir-506,X,145994794,145994850,-
1207,Homo_sapiens,Hsa-Mir-744,Mir-744,17,12081908,12081984,+
1208,Homo_sapiens,Hsa-Mir-4766,Mir-4766,22,40813892,40813947,-
1209,Homo_sapiens,Hsa-Mir-1910,Mir-1910,16,85741630,85741689,-
1210,Homo_sapiens,Hsa-Mir-132-P1,Mir-132,17,2049929,2049986,-
1211,Homo_sapiens,Hsa-Mir-15-P2a,Mir-15,13,50048984,50049048,-
1212,Homo_sapiens,Hsa-Mir-362-P3,Mir-362,X,50009734,50009792,+
1213,Homo_sapiens,Hsa-Mir-550-P2,Mir-550,7,32733001,32733061,+
1214,Homo_sapiens,Hsa-Mir-338-P1-as,Mir-338,17,81125885,81125946,+
1215,Homo_sapiens,Hsa-Mir-2277,Mir-2277,5,93620709,93620771,-
1216,Homo_sapiens,Hsa-Mir-188-P2,Mir-188,X,50003166,50003223,+
1217,Homo_sapiens,Hsa-Mir-32,Mir-32,9,109046232,109046293,-
1218,Homo_sapiens,Hsa-Mir-935-v2,Mir-935,19,53982324,53982382,+
1219,Homo_sapiens,Hsa-Mir-506-P6c,Mir-506,X,147189717,147189774,-
1220,Homo_sapiens,Hsa-Let-7-P2a1,Let-7,9,94175961,94176031,+
1221,Homo_sapiens,Hsa-Mir-3909,Mir-3909,22,35335669,35335729,+
1222,Homo_sapiens,Hsa-Mir-147-v2,Mir-147,15,45433060,45433116,+
1223,Homo_sapiens,Hsa-Mir-17-P3b,Mir-17,X,134169812,134169872,-
1224,Homo_sapiens,Hsa-Mir-1252,Mir-1252,12,79419260,79419317,+
1225,Homo_sapiens,Hsa-Mir-430-P46,Mir-430,19,53726927,53726980,+
1226,Homo_sapiens,Hsa-Mir-193-P2a,Mir-193,17,31575438,31575497,+
1227,Homo_sapiens,Hsa-Mir-3144-v1,Mir-3144,6,120015189,120015245,+
1228,Homo_sapiens,Hsa-Mir-430-P34,Mir-430,19,53720110,53720168,+
1229,Homo_sapiens,Hsa-Mir-128-P2,Mir-128,3,35744489,35744545,+
1230,Homo_sapiens,Hsa-Mir-26-P2,Mir-26,12,57824620,57824679,-
1231,Homo_sapiens,Hsa-Mir-127,Mir-127,14,100883000,100883054,+
1232,Homo_sapiens,Hsa-Mir-3940,Mir-3940,19,6416434,6416488,-
1233,Homo_sapiens,Hsa-Mir-346,Mir-346,10,86264710,86264769,-
1234,Homo_sapiens,Hsa-Mir-199-P1-v1,Mir-199,9,128244745,128244805,-
1235,Homo_sapiens,Hsa-Mir-6529,Mir-6529,3,120084575,120084635,-
1236,Homo_sapiens,Hsa-Mir-10-P1b-v2,Mir-10,2,176150329,176150387,+
1237,Homo_sapiens,Hsa-Mir-430-P6,Mir-430,19,53787894,53787951,+
1238,Homo_sapiens,Hsa-Mir-197,Mir-197,1,109598900,109598959,+
1239,Homo_sapiens,Hsa-Mir-124-P2-v1,Mir-124,8,64379172,64379229,+
1240,Homo_sapiens,Hsa-Mir-188-P1,Mir-188,X,50003516,50003574,+
1241,Homo_sapiens,Hsa-Mir-205-P1,Mir-205,1,209432165,209432222,+
1242,Homo_sapiens,Hsa-Mir-154-P4b,Mir-154,14,101027112,101027170,+
1243,Homo_sapiens,Hsa-Mir-430-P21,Mir-430,19,53708758,53708815,+
1244,Homo_sapiens,Hsa-Mir-624,Mir-624,14,31014670,31014727,-
1245,Homo_sapiens,Hsa-Mir-430-P9b,Mir-430,19,53679015,53679072,+
1246,Homo_sapiens,Hsa-Mir-430-P9b,Mir-430,19,53685021,53685078,+
1247,Homo_sapiens,Hsa-Mir-30-P1a,Mir-30,6,71403554,71403616,-
1248,Homo_sapiens,Hsa-Mir-934,Mir-934,X,136550891,136550946,+
1249,Homo_sapiens,Hsa-Mir-430-P28,Mir-430,19,53686483,53686541,+
1250,Homo_sapiens,Hsa-Mir-34-P2a,Mir-34,11,111512950,111513007,+
1251,Homo_sapiens,Hsa-Mir-92-P1a,Mir-92,13,91351323,91351380,+
1252,Homo_sapiens,Hsa-Mir-154-P12,Mir-154,14,101065924,101065979,+
1253,Homo_sapiens,Hsa-Mir-148-P1,Mir-148,7,25949922,25949981,-
1254,Homo_sapiens,Hsa-Mir-29-P2b-v1,Mir-29,1,207802450,207802513,-
1255,Homo_sapiens,Hsa-Mir-19-P2a,Mir-19,13,91351206,91351265,+
1256,Homo_sapiens,Hsa-Mir-105-P1,Mir-105,X,152392229,152392287,-
1257,Homo_sapiens,Hsa-Mir-326,Mir-326,11,75335108,75335167,-
1258,Homo_sapiens,Hsa-Mir-96-P3-v1,Mir-96,7,129774927,129774988,-
1259,Homo_sapiens,Hsa-Mir-95-P4,Mir-95,X,114652654,114652715,+
1260,Homo_sapiens,Hsa-Mir-199-P1-v2,Mir-199,9,128244745,128244805,-
1261,Homo_sapiens,Hsa-Mir-3140,Mir-3140,4,152489337,152489405,-
1262,Homo_sapiens,Hsa-Mir-450-P3,Mir-450,X,134540195,134540252,-
1263,Homo_sapiens,Hsa-Mir-506-P11,Mir-506,X,145996678,145996734,-
1264,Homo_sapiens,Hsa-Let-7-P2a2,Let-7,22,46112751,46112818,+
1265,Homo_sapiens,Hsa-Mir-452-v2,Mir-452,X,151959640,151959696,-
1266,Homo_sapiens,Hsa-Mir-15-P1c,Mir-15,17,7017938,7017999,-
1267,Homo_sapiens,Hsa-Mir-489-v2,Mir-489,7,93483946,93484007,-
1268,Homo_sapiens,Hsa-Mir-148-P2,Mir-148,17,48037174,48037232,-
1269,Homo_sapiens,Hsa-Mir-430-P31,Mir-430,19,53690894,53690951,+
1270,Homo_sapiens,Hsa-Mir-590,Mir-590,7,74191212,74191271,+
1271,Homo_sapiens,Hsa-Mir-430-P18,Mir-430,19,53731018,53731074,+
1272,Homo_sapiens,Hsa-Mir-154-P6,Mir-154,14,101062055,101062113,+
1273,Homo_sapiens,Hsa-Mir-576,Mir-576,4,109488712,109488772,+
1274,Homo_sapiens,Hsa-Mir-430-P15b,Mir-430,19,53721080,53721137,+
1275,Homo_sapiens,Hsa-Mir-452-v1,Mir-452,X,151959639,151959699,-
1276,Homo_sapiens,Hsa-Mir-585,Mir-585,5,169263613,169263670,-
1277,Homo_sapiens,Hsa-Mir-3145,Mir-3145,6,138435222,138435283,-
1278,Homo_sapiens,Hsa-Let-7-P2c1,Let-7,9,94178840,94178913,+
1279,Homo_sapiens,Hsa-Mir-154-P10,Mir-154,14,101054315,101054371,+
1280,Homo_sapiens,Hsa-Mir-10-P1a-v1,Mir-10,17,48579864,48579926,-
1281,Homo_sapiens,Hsa-Mir-142-v2,Mir-142,17,58331245,58331303,-
1282,Homo_sapiens,Hsa-Mir-192-P1,Mir-192,11,64891159,64891223,-
1283,Homo_sapiens,Hsa-Mir-101-P2-v2,Mir-101,9,4850307,4850364,+
1284,Homo_sapiens,Hsa-Mir-376-P1,Mir-376,14,101040787,101040843,+
1285,Homo_sapiens,Hsa-Mir-214-v2,Mir-214,1,172138816,172138878,-
1286,Homo_sapiens,Hsa-Mir-499,Mir-499,20,34990407,34990464,+
1287,Homo_sapiens,Hsa-Mir-154-P1,Mir-154,14,101059768,101059824,+
1288,Homo_sapiens,Hsa-Mir-190-P2,Mir-190,1,154193674,154193733,-
1289,Homo_sapiens,Hsa-Mir-592,Mir-592,7,127058109,127058169,-
1290,Homo_sapiens,Hsa-Mir-154-P18,Mir-154,14,101029647,101029701,+
1291,Homo_sapiens,Hsa-Mir-551-P1,Mir-551,1,3560710,3560769,-
1292,Homo_sapiens,Hsa-Mir-154-P7,Mir-154,14,101022070,101022127,+
1293,Homo_sapiens,Hsa-Mir-15-P1d,Mir-15,X,134546643,134546701,-
1294,Homo_sapiens,Hsa-Mir-138-P1,Mir-138,3,44114233,44114292,+
1295,Homo_sapiens,Hsa-Mir-430-P3,Mir-430,4,112648368,112648423,-
1296,Homo_sapiens,Hsa-Mir-430-P39b,Mir-430,19,53716607,53716666,+
1297,Homo_sapiens,Hsa-Mir-589,Mir-589,7,5495834,5495894,-
1298,Homo_sapiens,Hsa-Mir-642,Mir-642,19,45674942,45674997,+
1299,Homo_sapiens,Hsa-Mir-504-v2,Mir-504,X,138667724,138667780,-
1300,Homo_sapiens,Hsa-Mir-615,Mir-615,12,54033966,54034028,+
1301,Homo_sapiens,Hsa-Mir-199-P3-v1,Mir-199,1,172144554,172144614,-
1302,Homo_sapiens,Hsa-Mir-185,Mir-185,22,20033152,20033206,+
1303,Homo_sapiens,Hsa-Mir-208-P1,Mir-208,14,23388602,23388658,-
1304,Homo_sapiens,Hsa-Mir-29-P2b-v2,Mir-29,1,207802451,207802512,-
1305,Homo_sapiens,Hsa-Mir-92-P2c,Mir-92,7,100093571,100093630,-
1306,Homo_sapiens,Hsa-Mir-9851,Mir-9851,10,116827499,116827555,-
1307,Homo_sapiens,Hsa-Mir-136-v2,Mir-136,14,100884715,100884769,+
1308,Homo_sapiens,Hsa-Mir-580,Mir-580,5,36147907,36147967,-
1309,Homo_sapiens,Hsa-Mir-33-P2,Mir-33,17,17813858,17813916,-
1310,Homo_sapiens,Hsa-Mir-769,Mir-769,19,46018960,46019019,+
1311,Homo_sapiens,Hsa-Mir-30-P1c,Mir-30,8,134804879,134804940,-
1312,Homo_sapiens,Hsa-Mir-376-P4,Mir-376,14,101039694,101039750,+
1313,Homo_sapiens,Hsa-Mir-651,Mir-651,X,8126979,8127037,+
1314,Homo_sapiens,Hsa-Mir-146-P1,Mir-146,5,160485371,160485427,+
1315,Homo_sapiens,Hsa-Mir-551-P2,Mir-551,3,168551874,168551932,+
1316,Homo_sapiens,Hsa-Mir-133-P3-v1,Mir-133,6,52148950,52149007,+
1317,Homo_sapiens,Hsa-Mir-17-P2b,Mir-17,X,134170042,134170106,-
1318,Homo_sapiens,Hsa-Mir-204-P1,Mir-204,9,70809993,70810052,-
1319,Homo_sapiens,Hsa-Mir-218-P1,Mir-218,4,20528298,20528360,+
1320,Homo_sapiens,Hsa-Mir-181-P1a,Mir-181,1,198859069,198859130,-
1321,Homo_sapiens,Hsa-Mir-23-P2,Mir-23,9,95085226,95085285,+
1322,Homo_sapiens,Hsa-Mir-671,Mir-671,7,151238448,151238506,+
1323,Homo_sapiens,Hsa-Let-7-P1b,Let-7,19,51692792,51692857,+
1324,Homo_sapiens,Hsa-Mir-2116,Mir-2116,15,59171194,59171250,-
1325,Homo_sapiens,Hsa-Mir-154-P3a-v2,Mir-154,14,101025746,101025800,+
1326,Homo_sapiens,Hsa-Mir-1-P2,Mir-1,18,21829015,21829075,-
1327,Homo_sapiens,Hsa-Mir-19-P2b,Mir-19,X,134169683,134169748,-
1328,Homo_sapiens,Hsa-Mir-374-P1,Mir-374,X,74287295,74287346,-
1329,Homo_sapiens,Hsa-Mir-154-P28a,Mir-154,14,101042990,101043048,+
1330,Homo_sapiens,Hsa-Mir-7-P1,Mir-7,9,83969771,83969834,-
1331,Homo_sapiens,Hsa-Mir-9-P1,Mir-9,1,156420354,156420414,-
1332,Homo_sapiens,Hsa-Mir-1343,Mir-1343,11,34941850,34941907,+
1333,Homo_sapiens,Hsa-Mir-642-as,Mir-642,19,45674941,45674997,-
1334,Homo_sapiens,Hsa-Mir-191,Mir-191,3,49020631,49020694,-
1335,Homo_sapiens,Hsa-Mir-140-v1,Mir-140,16,69933102,69933162,+
1336,Homo_sapiens,Hsa-Mir-126-v3,Mir-126,9,136670615,136670672,+
1337,Homo_sapiens,Hsa-Mir-194-P2,Mir-194,1,220118170,220118227,-
1338,Homo_sapiens,Hsa-Mir-33-P1,Mir-33,22,41900948,41901007,+
1339,Homo_sapiens,Hsa-Let-7-P2b2,Let-7,22,46113690,46113763,+
1340,Homo_sapiens,Hsa-Mir-653,Mir-653,7,93482784,93482840,-
1341,Homo_sapiens,Hsa-Mir-154-P19,Mir-154,14,101033767,101033823,+
1342,Homo_sapiens,Hsa-Mir-1271,Mir-1271,5,176367959,176368015,+
1343,Homo_sapiens,Hsa-Mir-154-P4a,Mir-154,14,101026795,101026853,+
1344,Homo_sapiens,Hsa-Mir-128-P1,Mir-128,2,135665410,135665464,+
1345,Homo_sapiens,Hsa-Mir-430-P8b,Mir-430,19,53666692,53666748,+
1346,Homo_sapiens,Hsa-Mir-430-P8b,Mir-430,19,53669176,53669232,+
1347,Homo_sapiens,Hsa-Mir-130-P4a,Mir-130,17,59137785,59137849,-
1348,Homo_sapiens,Hsa-Mir-154-P23,Mir-154,14,101040233,101040287,+
1349,Homo_sapiens,Hsa-Mir-199-P2-v2,Mir-199,19,10817429,10817491,-
1350,Homo_sapiens,Hsa-Mir-193-P2b,Mir-193,16,14309299,14309358,+
1351,Homo_sapiens,Hsa-Mir-154-P9,Mir-154,14,101045926,101045987,+
1352,Homo_sapiens,Hsa-Mir-375,Mir-375,2,219001648,219001704,-
1353,Homo_sapiens,Hsa-Mir-154-P8,Mir-154,14,101025019,101025074,+
1354,Homo_sapiens,Hsa-Mir-760,Mir-760,1,93846842,93846898,+
1355,Homo_sapiens,Hsa-Mir-92-P1b,Mir-92,X,134169544,134169604,-
1356,Homo_sapiens,Hsa-Mir-15-P2b,Mir-15,3,160404753,160404816,+
1357,Homo_sapiens,Hsa-Mir-135-P1,Mir-135,3,52294233,52294292,-
1358,Homo_sapiens,Hsa-Mir-1908,Mir-1908,11,61815172,61815229,-
1359,Homo_sapiens,Hsa-Mir-92-P1c,Mir-92,1,155195195,155195256,+
1360,Homo_sapiens,Hsa-Mir-30-P1b,Mir-30,1,40754370,40754432,+
1361,Homo_sapiens,Hsa-Mir-544,Mir-544,14,101048675,101048730,+
1362,Homo_sapiens,Hsa-Mir-219-P2,Mir-219,9,128392632,128392696,-
1363,Homo_sapiens,Hsa-Mir-154-P29,Mir-154,14,101030063,101030118,+
1364,Homo_sapiens,Hsa-Let-7-P2c3,Let-7,3,52268280,52268357,-
1365,Homo_sapiens,Hsa-Mir-506-P4b,Mir-506,X,147259661,147259717,-
1366,Homo_sapiens,Hsa-Mir-1-P1,Mir-1,20,62554311,62554370,+
1367,Homo_sapiens,Hsa-Mir-5000,Mir-5000,2,75090833,75090892,+
1368,Homo_sapiens,Hsa-Mir-432,Mir-432,14,100884495,100884562,+
1369,Homo_sapiens,Hsa-Mir-488,Mir-488,1,177029374,177029432,-
1370,Homo_sapiens,Hsa-Mir-154-P20-v2,Mir-154,14,101060594,101060648,+
1371,Homo_sapiens,Hsa-Mir-193-P1b,Mir-193,16,14303979,14304036,+
1372,Homo_sapiens,Hsa-Mir-374-P2,Mir-374,X,74218557,74218608,-
1373,Homo_sapiens,Hsa-Mir-376-P2,Mir-376,14,101040080,101040136,+
1374,Homo_sapiens,Hsa-Mir-296,Mir-296,20,58817626,58817681,-
1375,Homo_sapiens,Hsa-Mir-430-P47,Mir-430,19,53694405,53694462,+
1376,Homo_sapiens,Hsa-Mir-628,Mir-628,15,55372952,55373012,-
1377,Homo_sapiens,Hsa-Mir-2115,Mir-2115,3,48316380,48316439,-
1378,Homo_sapiens,Hsa-Mir-506-P10,Mir-506,X,145994285,145994341,-
1379,Homo_sapiens,Hsa-Mir-199-P2-v3,Mir-199,19,10817429,10817491,-
1380,Homo_sapiens,Hsa-Mir-124-P2-v2,Mir-124,8,64379172,64379228,+
1381,Homo_sapiens,Hsa-Mir-34-P3c,Mir-34,5,55172279,55172336,-
1382,Homo_sapiens,Hsa-Mir-208-P2,Mir-208,14,23417997,23418053,-
1383,Homo_sapiens,Hsa-Mir-154-P13,Mir-154,14,101023339,101023393,+
1384,Homo_sapiens,Hsa-Mir-154-P2-v2,Mir-154,14,101023799,101023850,+
1385,Homo_sapiens,Hsa-Mir-95-P3-v1,Mir-95,X,74287125,74287187,-
1386,Homo_sapiens,Hsa-Mir-28-P1,Mir-28,3,188688793,188688853,+
1387,Homo_sapiens,Hsa-Mir-3194,Mir-3194,20,51452912,51452968,-
1388,Homo_sapiens,Hsa-Mir-2276,Mir-2276,13,24162430,24162488,+
1389,Homo_sapiens,Hsa-Mir-154-P5,Mir-154,14,101065605,101065659,+
1390,Homo_sapiens,Hsa-Mir-223,Mir-223,X,66018894,66018957,+
1391,Homo_sapiens,Hsa-Mir-605-v1,Mir-605,10,51299587,51299642,+
1392,Homo_sapiens,Hsa-Mir-3663,Mir-3663,10,117167695,117167754,-
1393,Homo_sapiens,Hsa-Mir-542-v2,Mir-542,X,134541365,134541421,-
1394,Homo_sapiens,Hsa-Mir-430-P23,Mir-430,19,53729852,53729909,+
1395,Homo_sapiens,Hsa-Mir-27-P2,Mir-27,9,95085462,95085523,+
1396,Homo_sapiens,Hsa-Mir-146-P2,Mir-146,10,102436519,102436576,+
1397,Homo_sapiens,Hsa-Mir-1914,Mir-1914,20,63941475,63941532,-
1398,Homo_sapiens,Hsa-Mir-5586,Mir-5586,14,59646962,59647021,-
1399,Homo_sapiens,Hsa-Mir-92-P2b,Mir-92,X,134169382,134169446,-
1400,Homo_sapiens,Hsa-Mir-338-P1,Mir-338,17,81125886,81125944,-
1401,Homo_sapiens,Hsa-Mir-430-P24,Mir-430,19,53700029,53700086,+
1402,Homo_sapiens,Hsa-Mir-95-P3-v2,Mir-95,X,74287126,74287185,-
1403,Homo_sapiens,Hsa-Mir-199-P3-v3,Mir-199,1,172144554,172144614,-
1404,Homo_sapiens,Hsa-Mir-430-P37b,Mir-430,19,53722181,53722239,+
1405,Homo_sapiens,Hsa-Mir-430-P37b,Mir-430,19,53742527,53742585,+
1406,Homo_sapiens,Hsa-Mir-493,Mir-493,14,100869074,100869134,+
1407,Homo_sapiens,Hsa-Mir-5687,Mir-5687,5,55508859,55508916,-
1408,Homo_sapiens,Hsa-Mir-506-P12,Mir-506,X,145997208,145997264,-
1409,Homo_sapiens,Hsa-Mir-616,Mir-616,12,57519183,57519244,-
1410,Homo_sapiens,Hsa-Mir-448,Mir-448,X,114823464,114823541,+
1411,Homo_sapiens,Hsa-Mir-362-P1,Mir-362,X,50008967,50009024,+
1412,Homo_sapiens,Hsa-Mir-96-P3-v2,Mir-96,7,129774928,129774987,-
1413,Homo_sapiens,Hsa-Mir-3127,Mir-3127,2,96798287,96798343,+
1414,Homo_sapiens,Hsa-Mir-4424,Mir-4424,1,178677762,178677820,+
1415,Homo_sapiens,Hsa-Mir-10-P1a-v2,Mir-10,17,48579865,48579925,-
1416,Homo_sapiens,Hsa-Mir-17-P3a,Mir-17,13,91351071,91351128,+
1417,Homo_sapiens,Hsa-Mir-10-P2a,Mir-10,11,122152240,122152296,-
1418,Homo_sapiens,Hsa-Mir-2355,Mir-2355,2,207109997,207110063,-
1419,Homo_sapiens,Hsa-Let-7-P2b3,Let-7,X,53556242,53556320,-
1420,Homo_sapiens,Hsa-Mir-101-P2-v1,Mir-101,9,4850308,4850363,+
1421,Homo_sapiens,Hsa-Let-7-P1c,Let-7,21,16539837,16539902,+
1422,Homo_sapiens,Hsa-Mir-552,Mir-552,1,34669613,34669671,-
1423,Homo_sapiens,Hsa-Mir-3138,Mir-3138,4,10078620,10078681,-
1424,Macaca_mulatta,Hsa-Mir-1912,Mir-1912,chrX,111202570,111202623,+
1425,Macaca_mulatta,Hsa-Mir-506-P6a2,Mir-506,chrX,143261883,143261940,-
1426,Macaca_mulatta,Hsa-Mir-129-P1,Mir-129,chr3,154675177,154675241,+
1427,Macaca_mulatta,Hsa-Mir-1296,Mir-1296,chr9,74596915,74596978,+
1428,Macaca_mulatta,Hsa-Mir-154-P27,Mir-154,chr7,163268096,163268153,+
1429,Macaca_mulatta,Hsa-Mir-193-P1a,Mir-193,chr16,27814400,27814454,+
1430,Macaca_mulatta,Hsa-Mir-133-P1-v2,Mir-133,chr10,97719266,97719324,+
1431,Macaca_mulatta,Hsa-Mir-154-P15,Mir-154,chr7,163275604,163275661,+
1432,Macaca_mulatta,Hsa-Mir-142-v3,Mir-142,chr16,38469539,38469596,+
1433,Macaca_mulatta,Hsa-Mir-430-P49,Mir-430,chr19,53447414,53447470,+
1434,Macaca_mulatta,Hsa-Mir-3174,Mir-3174,chr7,68799671,68799739,+
1435,Macaca_mulatta,Hsa-Mir-1269,Mir-1269,chr5,67313427,67313490,-
1436,Macaca_mulatta,Hsa-Mir-130-P2b,Mir-130,chr10,31294388,31294445,-
1437,Macaca_mulatta,Hsa-Mir-459,Mir-459,chr3,10864785,10864845,-
1438,Macaca_mulatta,Hsa-Mir-17-P1a,Mir-17,chr17,73152125,73152183,+
1439,Macaca_mulatta,Hsa-Mir-376-P3,Mir-376,chr7,163260658,163260714,+
1440,Macaca_mulatta,Hsa-Mir-103-P2,Mir-103,chr10,62561600,62561659,-
1441,Macaca_mulatta,Hsa-Mir-142-v1,Mir-142,chr16,38469539,38469596,+
1442,Macaca_mulatta,Hsa-Mir-486,Mir-486,chr8,42237921,42237984,-
1443,Macaca_mulatta,Hsa-Mir-873-v1,Mir-873,chr15,54879498,54879555,+
1444,Macaca_mulatta,Hsa-Mir-330-v2,Mir-330,chr19,45708832,45708895,-
1445,Macaca_mulatta,Hsa-Mir-145,Mir-145,chr6,146942249,146942307,+
1446,Macaca_mulatta,Hsa-Mir-430-P4,Mir-430,chr5,110919711,110919771,-
1447,Macaca_mulatta,Hsa-Mir-873-v2,Mir-873,chr15,54879499,54879554,+
1448,Macaca_mulatta,Hsa-Mir-430-P5,Mir-430,chr19,53555342,53555402,+
